,title,vote,genre,country,time,grade,poster_path,actor_1,actor_2,actor_3,year,month,day,content
1134,크레이지 버그,관람객 평점 없음,"['드라마', '미스터리', '스릴러']",미국,96분,15세 관람가,https://movie-phinf.pstatic.net/20190429_56/1556500517276XMtCD_JPEG/movie_image.jpg?type=m203_290_2,클라라 블랑켄십, 진 존스, 헤더 카프카,2019,05,02,"12살 소녀 버그는 오래 전에 할아버지가 인종적인 이유로 흑인 남성을 죽였을지도 모른다는 사실을 알게 된다. 버그는 할아버지가 자백하게 하려 하지만 점점 알 수 없는 진실에 혼란스러워 지고, 서서히 밝혀지는 그 날의 충격적인 진실이 드러나기 시작한다."
1136,쎈놈,관람객 평점 없음,['액션'],한국,75분,청소년 관람불가,https://movie-phinf.pstatic.net/20190403_116/1554258848030wrkzH_JPEG/movie_image.jpg?type=m203_290_2,김도건, 윤경호, 왕우진,2019,04,11,"10대들만의 불법 격투 도박장 ‘아레나’의 랭킹 1위 ‘동호’는 체대 진학을 위해 은퇴를 결심한다.', 하지만 ‘아레나’ 일원들은 큰 수입원인 ‘동호’를 놓치고 싶지 않다는 생각에 ‘동호’의 동생 ‘동민’을 도박장에 끌어들여 빚을 지게 만든다.', 빚에 떠밀려 어쩔 수 없이 격투에 참가했다가 크게 다친 ‘동민’. 그 모습을 보고 분노한 ‘동호’는 복수의 주먹을 빼든다."
1137,마술피리,관람객 평점 없음,['공연실황'],독일,150분,15세 관람가,https://movie-phinf.pstatic.net/20190416_37/15554032300576tzfE_JPEG/movie_image.jpg?type=m203_290_2,아담 플라체트카,,,2019,04,28,"왕자 타미노는 폭군 자라스트로가 밤의 여왕의 딸, 파미나를 납치해갔다는 사실을 전해 듣는다. 파미나를 구하기로 결심한 왕자는 여왕으로부터 마술피리를, 동행자인 새잡이 파파게노는 요술종을 받아 악당의 소굴로 향한다. 하지만 그 곳에서 밤의 여왕의 말과는 달리 자라스트로가 의로운 철학자라는 사실이 밝혀지고 타미노는 그 일원이 되기 위해 여러 시련을 거치기로 약속한다. 파파게노와 함께 감옥을 탈출한 파미나는 마침내 타미노를 만나지만 침묵 수행 중인 그가 말을 하지 않자 버림받았다고 오해를 하게 되는데..."
1139,인크레더블 손오공,관람객 평점 없음,['액션'],중국,93분,15세 관람가,https://movie-phinf.pstatic.net/20190627_83/1561618072763O2AFt_JPEG/movie_image.jpg?type=m203_290_2,진호민, 진국곤,,2019,07,18,"전설의 제공은 능력이 뛰어나 많은 요괴들이 그를 무서워했다. 그럼에도 불구하고 물의 요괴인 수괴는 각종 오염을 일으키는 무지한 인간들을 해치려고 쓰나미를 일으키지만, 이때 제공이 나타나 수괴로부터 인간들을 구해낸다. 마침내 세상에 평화가 찾아온 듯 했으나 요괴 대붕새가 인간들을 현혹시켜 또다시 음모를 꾸미고 있다는 것을 알고 제공은 옥황상제를 찾아가 다른 신들과 함께 요괴를 물리치려 한다. 과연 이 싸움에서 누가 승리할 것인가..."
1140,스페인 배낭여행 연쇄살인사건,관람객 평점 없음,['공포'],스페인,89분,청소년 관람불가,https://movie-phinf.pstatic.net/20190730_264/1564466533103ViYO5_JPEG/movie_image.jpg?type=m203_290_2,시몬 앤드루,,,2019,07,30,"설레는 마음으로 커플 여행을 떠난 대니, 알렉스, 폴라, 안나.', 목적지까지 가는 길이 꽤 멀고 외져 한참을 헤매다가 겨우 찾은 가게에서 배를 채우고 지름길을 안내받는다.', 한적한 도로 한가운데에 쓰러져 있는 남자 치스코를 발견한 이들은 그를 도와 집까지 데려다주고 다시 길을 나서지만 이번에는 길 한복판을 막고 있는 트럭을 발견한다.', 별안간 오싹한 돼지 가면을 쓴 남자가 나타나 알렉스를 기절시켜 실어 떠나고 패닉에 빠진 나머지 세 일행은 도움을 청하러 치스코의 집으로 도망가지만 그곳에서는 더욱더 끔찍한 일들이 기다리고 있을 뿐인데..."
1150,나폴리: 작은 갱들의 도시,관람객 평점 없음,"['범죄', '드라마']",이탈리아,111분,청소년 관람불가,https://movie-phinf.pstatic.net/20210615_29/1623724739443tOM6w_JPEG/movie_image.jpg?type=m203_290_2,프란체스코 디 나폴리, 비비아나 아프레아,,2021,06,17,"[""마피아의 도시, 나폴리. 자연스레 마약 밀매 사업에 뛰어들게 된 십 대 소년 '니콜라'는 거침없는 행동으로 어른들에게도 밀리지 않으며 새로운 실세가 된다. 그러나 곧 다른 구역과의 전쟁이 시작되는데...""]"
1161,코드기아스: 부활의 를르슈,관람객 평점 없음,"['애니메이션', 'SF']",일본,113분,12세 관람가,https://movie-phinf.pstatic.net/20190222_18/1550797924709Ci7tC_JPEG/movie_image.jpg?type=m203_290_2,후쿠야마 쥰, 노가미 유카나, 사쿠라이 타카히로,2021,04,28,"를르슈의 죽음 그 이후, 스자쿠가 ‘제로’로서 살아가는 세계는재편성된 초합중국을 중심으로 안정되어 평화로운 나날의 연속인 듯하다.그러던 어느 날, 나나리와 함께 난민 캠프 위문을 간 스자쿠는의문의 나이트메어 프레임에 급습당하고 두 사람은 납치되기에 이른다.갑작스레 깨져버린 평화에 슈나이젤은 카렌, 로이드, 사요코에게전사의 나라 지르크스탄 왕국으로 잠입 명령을 내린다.그곳에서 세 사람은 C.C.와 재회하지만이내 정체 모를 기아스 사용자에게 공격받는데…기아스에 대해 알고 있는 지르크스탄 사람들의 정체는?그리고 C.C.가 곁을 지키고 있는 그녀의 ‘일행’은 누구?"
1163,스킨,관람객 평점 없음,['드라마'],미국,119분,청소년 관람불가,https://movie-phinf.pstatic.net/20200310_70/1583815576189wOUJj_JPEG/movie_image.jpg?type=m203_290_2,제이미 벨, 다니엘 맥도널드,,2020,03,19,"엄마를 잃고, 알코올 중독인 아버지에게서 벗어나고 싶었던 소년 브라이언(제이미 벨)은우연히 극단적 인종주의를 주장하는 이들을 만나 그들의 손에 자라 조직원으로 성장한다.끝없는 시위와 폭력으로 세상에 대한 증오를 먼저 배우고 자란 브라이언은어느날 세 명의 딸을 키우던 여인 줄리(다니엘 맥도널드)를 만나고 새로운 삶을 꿈꾸게 된다.인권운동가의 도움을 받아 조직을 탈출하기로 결심한 브라이언그리고 배신을 받아들일 수 없는 한 때는 가족이었던 조직의 끝없는 위협과 추적.브라이언은 자유를 꿈꾸며 문신을 지워가는데…"
1165,봄은 온다,관람객 평점 없음,['다큐멘터리'],일본,81분,전체 관람가,https://movie-phinf.pstatic.net/20190219_93/15505522851283RnT3_JPEG/movie_image.jpg?type=m203_290_2,후지와라 노리카, 야마데라 코이치,,2019,03,14,"2011년 3월 11일 동일본 대지진 그 후, 무너진 땅 위에서 여전히 마음과 삶을 굳건히 일구는 사람들.계절이 가고 풍경은 변했지만 그래도 삶은 소중하다고 말하는 이들의뭉클한 희망에 대한 이야기.동일본 대지진2011년 3월 11일 14시 46분에 발생한 동일본 대지진은 진도 9.0의 강력한 지진으로 전 세계에 슬픔과 아픔을 가져온 사고였다. 재해 직후 피해자 수는 약 47만 명에 이르렀고 일본 역사상 최악의 지진으로 기록되었다. 일본 부흥청에 따르면 2017년 9월 1일 기준, 동일본 대지진으로 인한 사망자는 19,575명, 실종자는 2,577명이다."
1168,존 도우,관람객 평점 없음,"['공포', '스릴러']",미국,92분,15세 관람가,https://movie-phinf.pstatic.net/20210408_31/16178661272822Yi7B_JPEG/movie_image.jpg?type=m203_290_2,쉐인 카루스, 푸나 자가나단, 제레미 차일즈,2021,05,13,"신원 불명의 시체 이른바 “존 도우”가 병원 영안실로 들어온다. ', 하지만 잠시 후 그가 갑자기 되살아나면서 병원은 공포에 휩싸인다. ', 정신과 전문의 다니엘이 그를 맡아 진찰 및 상담을 하게 되는데 ', 그가 기억을 되찾아 갈수로 주변에 이유를 알 수 없는 죽음이 늘어난다. ', 다니엘은 죽음 저편에서 존 도우의 몸을 빌어 세상에 침입한 존재가 ', 이 세상을 죽음으로 채우려 한다는 것을 알게 되는데…..."
1169,보더라인,관람객 평점 없음,"['드라마', '멜로/로맨스']",영국,109분,청소년 관람불가,https://movie-phinf.pstatic.net/20210317_299/16159423398322roeC_JPEG/movie_image.jpg?type=m203_290_2,안나 알피에리,,,2021,04,15,"“어디에 있어도 네가 보여”', 런던에 살고 있는 작가 지망생 ‘안나’ 앞에 ', 평범한 삶을 원하는 그녀 ‘로빈’이 나타난다.', 첫 만남부터 거부할 수 없는 끌림을 느낀 그들은', 생애 단 한 번, 처음 겪는 사랑을 시작한다.', ', “날 사랑해줘. 원하든 원치 않든”', 창작에 대한 집착과 갈망이 심해진 ‘안나’는 점점 현실 감각을 잃어가고', ‘로빈’은 변해가는 ‘안나’의 행동에 괴로워한다.', 사랑을 시작할수록 늘어가는 고통에 평온했던 ‘안나’의 일상은 뒤흔들린다. ', ', 환상과 현실의 경계를 마주한 그날, 나에게 가장 위험한 첫사랑이 시작됐다"
1171,뷰티 인 더 글라스,관람객 평점 없음,['SF'],미국,80분,15세 관람가,https://movie-phinf.pstatic.net/20210215_42/1613366661150WzviY_JPEG/movie_image.jpg?type=m203_290_2,라리사 올레이닉, 리차드 카인드, 크리스틴 돈런,2021,02,18,안경을 쓰면 보이는 꿈의 이상형은퇴를 하는 ‘펠릭스’는무의식 속의 이상형을 증강현실로 구현해 주는특별한 안경 ‘어기’를 선물 받는다.무료하던 ‘펠릭스’의 일상은안경 ‘어기’ 속 ‘그녀’로 인해 점점 변하기 시작하는데…
1172,완벽한 손님,관람객 평점 없음,['공포'],미국,73분,15세 관람가,https://movie-phinf.pstatic.net/20210310_7/1615360644821k3Ylh_PNG/movie_image.jpg?type=m203_290_2,채드 베르너,,,2021,04,,대학 동창으로 오랫동안 친구였던 샘과 에이버리는 숲속 외딴 집으로 여행을 떠난다.집을 빌려준 주인 태드는 이상한 핑계를 대며 자꾸 둘의 주변을 서성거리고이런 태드가 불편한 둘은 어서 다른 친구들이 오기만을 기다린다.태드를 향한 의심이 커져만 가는 샘과 에이버리는 결국 집주인에 대한 소름 끼치는 비밀을 알게 되는데...
1175,늑대의 아이들,관람객 평점 없음,"['드라마', '공포']",폴란드,88분,15세 관람가,https://movie-phinf.pstatic.net/20191028_166/1572247337383Wliee_JPEG/movie_image.jpg?type=m203_290_2,카밀 폴니시아크, 다누타 스텐카, 니콜라스 프리고다,2019,11,14,"강제 수용소에서 해방된 9명의 아이들은 숲 속 버려진 저택으로 보내진다.식량도, 옷도 마땅치 않던 그 곳에서 유일하게 아이들을 돌봐 줄 보모는 늑대에 의해 살해되고 저택은 늑대로 둘려 쌓여 아이들은 음식과 물도 없는 황무지에 갇힌다. 그러나 진짜 위험은 고아원 안에 도사리고 있다. 아이들은 전쟁을 겪어냈지만, 그들의 생존기는 이제부터 시작이다."
1176,라스트 선라이즈,관람객 평점 없음,['SF'],중국,103분,15세 관람가,https://movie-phinf.pstatic.net/20191230_202/157767225545199fXC_JPEG/movie_image.jpg?type=m203_290_2,란 장, 주 장,,2020,01,09,"어느날 갑자기 의문의 행성과 함께 태양이 사라지고,', 암흑에 뒤덮인 지구는 겉잡을 수 없는 혼란에 빠진다.', ', 이를 해결하기 위해 천문학자 '순양'과 묘령의 여인 '천무'가 나서고,"", 그들은 태양의 신이라 불리는 '왕윤'에게 접촉을 시도하는데..."", ', 과연 목숨을 건 이들의 여정은 어떤 결과를 마주할까?"
1177,리본,관람객 평점 없음,['공포'],미국,77분,15세 관람가,https://movie-phinf.pstatic.net/20210728_272/1627457020083BvYrW_JPEG/movie_image.jpg?type=m203_290_2,바바라 크램톤, 마이클 파레,,2021,07,22,"한물간 여배우 리나 오닐은 곧 개봉할 피터 보그다노비치 감독의 영화에서 배역을 따내 재기하고자 한다.하지만 그녀는 16년 전 출산 도중 사망한 딸을 향한 죄책감에 사로잡혀 연기에 집중하지 못한다.한편, 사산되었다가 전기충격으로 되살아난 소녀가 한 영안실 직원에게 납치된다.감금된 채 성장한 소녀는 16살 생일에 탈출해 친엄마를 찾아 나선다.소녀는 친엄마를 찾겠다는 일념 하나로 전기를 다룰 줄 아는 능력을 발휘하여 방해되는 사람들을 하나둘 처리하는데..."
1178,엑소시즘: 악령의 눈동자,관람객 평점 없음,['공포'],미국,86분,청소년 관람불가,https://movie-phinf.pstatic.net/20210906_184/1630911707119lA1YU_JPEG/movie_image.jpg?type=m203_290_2,리암 폭스, 다렌 데이,,2021,09,08,"어릴 적 헤어진 아빠가 스스로 목숨을 끊었다는 소식에오랜만에 고향으로 돌아온 ‘새디’.그곳에 머물며 신문사에 취직한 그는동료 ‘댄’과 함께 마을에 오래도록 전해져 온‘악마의 눈’에 대해 파헤치기 시작한다.그러다 아빠의 서랍장에서 발견한괴기스러운 눈알 모양의 목걸이.그것과 눈을 마주치고 무언가 욕망하는 순간,벗어날 수 없는 끔찍한 대가가 따를 것이다!"
1179,지옥행 특급택시,관람객 평점 없음,"['SF', '액션']",미국,82분,15세 관람가,https://movie-phinf.pstatic.net/20200109_247/1578556335839IgxjI_JPEG/movie_image.jpg?type=m203_290_2,지노 안소니 페시, 브리나 켈리,,2020,01,27,"늦은 밤, 매력적인 손님 ‘페니’를 태운 ‘해리스’.하지만 목적지가 얼마 남지 않은 상황에서 갑작스레 불이 꺼지고 ‘페니는’ 연기처럼 사라져버리고 만다. 당황한 ‘해리스’가 미터기를 재설정하자 다시 처음으로 돌아간 택시.이번에도 ‘해리스’는 그녀를 태우지만 역시나 사고가 난다. 하지만 한 가지 다른 점이 있다면 그가 무의식적으로 ‘페니’의 이름을 부른 것. 그러자 ‘페니’는 이번에는 자신을 기억해달라며 다시 사라지는데…잃어버린 기억! 끝없는 타임루프 속 드라이브!오늘 밤, 당신은 내릴 수 없다!"
1180,비블리아 고서당 사건수첩,관람객 평점 없음,"['드라마', '미스터리']",일본,120분,12세 관람가,https://movie-phinf.pstatic.net/20190531_247/1559268562594TVA2M_JPEG/movie_image.jpg?type=m203_290_2,쿠로키 하루, 노무라 슈헤이,,2019,06,20,"할머니의 유품인 나쓰메 소세키 전집에서 작가의 친필 사인을 발견한 다이스케. 진위를 확인하기 위해 가격표에 적혀 있던 비블리아 고서당을 찾아간다. 책 속에 둘러싸여 있던 고서당 주인 시오리코는 책을 건네받자마자할머니가 간직해두었던 50년 전 이야기를 추적하기 시작하고두 사람은 그 끝에서 한 연인을 만난다. 한편, 백수로 지내던 다이스케는 뜻밖의 제안으로 고서당에 취업하고시오리코가 다자이 오사무의 한 마니아로부터 위협을 받고 있다는 것을 알게 되는데… 나쓰메 소세키 ‘그 후’, 다자이 오사무 ‘만년’세상에 알려지지 않은 또 다른 이야기가 펼쳐진다."
1182,걸작,관람객 평점 없음,['코미디'],한국,82분,12세 관람가,https://movie-phinf.pstatic.net/20190314_131/155254297389202BLf_JPEG/movie_image.jpg?type=m203_290_2,최진욱, 주남정, 김명건,2019,07,01,35살의 배우 지망생 진욱. 그의 부인 소영은 진욱의 꿈을 뒷바라지하며 오랜 시간을 기다리지만 경제적 능력이 부족한 진욱에게 점점 지쳐만 간다.그러던 중 진욱에게 영화 출연 기회가 찾아오지만 그 기회마저 무산된다.결국 진욱은 자신이 직접 영화를 만들기로 결심하고 대학 선ㆍ후배들을 모아 영화를 만든다. 제작비 마련을 위해 소영 몰래 청약을 해지하고 삼류 영화인들이 모여 영화를 만들던 중 청약을 해지한 사실을 알게된 소영이 현장에 찾아와 초토화 시킨다. 엎친 데 덮친 격으로 진욱의 실수로 외장하드에 저장되어 있던 모든 사운드 파일들이 날아간다. ‘걸작’을 포기할 수 없던 진욱은 남은 파일로 무성영화를 완성한다.
1184,몬스터 가디언즈,관람객 평점 없음,"['액션', 'SF']",미국,85분,청소년 관람불가,https://movie-phinf.pstatic.net/20190305_21/1551751684824swogK_JPEG/movie_image.jpg?type=m203_290_2,에바레나 마리, 톰 시즈모어, 릭 라바넬로,2019,03,12,"1735년 뉴저지, 13번째 아들의 13번째 자녀로 야수 쌍둥이 남매가 태어난다.괴수의 모습으로 태어나 이름조차 없는 오빠와 인간의 모습이지만 꼬리가 달린 여동생 지브.그들은 300년 동안 늙지도 죽지도 않고, ‘수호자’라고 불리는 인간의 통제를 받으며 노예처럼 살아 오다가 이윽고 인류와의 전면전을 선포한다.이에 인간에 대한 살상을 막고자 하는 수호자들과 자유를 찾으려는 야수 남매의 운명을 건 거대한 전쟁이 펼쳐진다."
1185,엘프:사탄의 인형,관람객 평점 없음,['공포'],미국,91분,12세 관람가,https://movie-phinf.pstatic.net/20190620_254/15610129877819NLlG_JPEG/movie_image.jpg?type=m203_290_2,나타시아 할라비, 가브리엘 밀러,,2019,07,04,"닉은 크리스마스 이브에 있었던 사건 때문에 커다란 트라우마를 안고 살아가고 있다.', 고향을 떠나 살던 닉은 약손녀 빅토리아와 결혼을 앞두고 할아버지가 하시던 장난감 가게에 찾아가게 된다.', 오래 방치된 듯한 그곳에서 닉은 수상한 상자를 발견한다.', 상자를 열어본 닉은 섬?한 느낌의 엘프 인형과 '나쁜 아이들 명단'을 갖게 되는데...""]"
1186,프랑켄슈타인,관람객 평점 없음,['공연실황'],미국,124분,15세 관람가,https://movie-phinf.pstatic.net/20190220_19/1550638710627hwa4T_JPEG/movie_image.jpg?type=m203_290_2,베네딕트 컴버배치, 조니 리 밀러, 나오미 해리스,2019,03,14,"젊은 과학자 빅터 프랑켄슈타인 박사는 생명의 비밀을 알아내고 인간의 형상을 닮은 피조물을 만드는 데 성공한다. 피조물은 아이처럼 순수한 영혼을 가졌지만, 추악한 외모 탓에 어느 누구에게도 환영 받지 못하고 그를 만든 빅터에게조차 버림 받는다. 피조물은 자신의 외모를 저주하며 스스로 소외시키던 중 노인 드 라쎄를 만나 언어와 감정을 배우게 된다. 그러나 노인의 가족들은 그를 쫓아내고 절망한 피조물은 빅터를 찾아가 자신을 위한 완벽한 반려자를 만들어 달라고 부탁하는데…"
1187,8년 전쟁: 이란 vs 이라크,관람객 평점 없음,"['액션', '전쟁']",이란,96분,15세 관람가,https://movie-phinf.pstatic.net/20190417_262/1555466768325bV0fR_JPEG/movie_image.jpg?type=m203_290_2,하디 헤자지파르,,,2019,04,25,8년간 이어진 이란-이라크 전쟁의 영웅 아흐마드 모테바젤. 지휘관이자 혁명가인 그는 폭탄이 떨어지는 전쟁 한복판에서 군 사령관으로서의 출중한 능력뿐만 아니라 소외된 사람들까지 챙기며 모두의 신임을 얻는다. 이 기나긴 전쟁을 끝나기 위해 아흐마드는 절대 포기 하지 않는다!
1188,발퀴레,관람객 평점 없음,['공연실황'],영국,242분,12세 관람가,https://movie-phinf.pstatic.net/20190222_246/1550801812929lYaNU_JPEG/movie_image.jpg?type=m203_290_2,에밀리 매기,,,2019,03,03,"어릴 적 헤어졌던 쌍둥이 남매 지그문트와 지클린데는 우연히 다시 만나 연인이 되어 함께 길을 떠난다. 지그문트와 지클린데는 신들의 왕 보탄의 자식들이고, 이 사실을 알게 된 보탄의 아내 프리카는 분노한다. 보탄은 아내를 위해 ‘발퀴레’라 불리는 아홉 명의 딸들에게 지그문트를 죽일 것을 지시하지만 보탄이 가장 사랑하는 딸 브륀힐데는 이에 불복한다. 그러나 결국 지그문트는 죽음에 이르고 지그문트의 아이를 가진 지클린데만 피신에 성공한다. 보탄은 끝내 브륀힐데를 찾아내서 그녀의 능력을 박탈하고 사슬에 묶어 영원한 불길 속에 가둔다."
1191,로드킬,관람객 평점 없음,"['공포', '스릴러']",한국,96분,청소년 관람불가,https://movie-phinf.pstatic.net/20190128_220/1548643339022nuARm_JPEG/movie_image.jpg?type=m203_290_2,이철민, 오광록,,2019,02,21,"악랄한 부동산 업자 오광은 재개발 사업 건으로 급하게 산길을 운전하다 사고를 당하고 외딴 산속 장씨 집에서 이틀 만에 깨어난다.', 오광을 발견한 장씨 가족은 큰 비로 다리가 끊기고 전화마저 불통이라 오광을 집에 데려왔던 것.', 장씨와 아내 연희, 그들의 아들 현석과 딸 소희까지 장씨 가족은 친절하게 오광을 도와 준다.', 하지만 재개발 건으로 마음이 급한 오광은은 장씨 가족의 만류에도 혼자 집을 나섰다가 길을 잃고 산속을 헤매다 다리까지 다치고 만다.', 다친 오광을 다시 도와주는 장씨 가족.', 하지만 친절하기만 했던 장씨 가족은 오광에게 무언가를 숨기는 듯 하고…', 오광은 자신의 과거 악행과 장씨 가족이 연관되어 있다는 걸 알게 되고 목숨을 위협받게 되는데…"
1192,발기찬 처가살이,관람객 평점 없음,"['멜로/로맨스', '드라마']",한국,70분,청소년 관람불가,https://movie-phinf.pstatic.net/20190124_245/15482949740664oWOx_JPEG/movie_image.jpg?type=m203_290_2,타치바나 루리,,,2019,02,12,"일본 여자들의 사진을 즐겨 보던 장교는 그중 특히 눈에 띄게 아름다운 리노의 사진을 보며 점점 그녀에 대한 사랑을 키워 간다. 그러다 그녀에 대한 열망을 주체할 수 없게 되어 결국 그녀를 찾으러 일본으로 떠나게 된다. 일본의 번화가를 거닐던 중 정말 거짓말처럼 사진 속의 그녀, 리노를 발견하고 그녀를 따라가 말을 걸게 되면서 어느덧 둘은 사귀는 연인으로 발전한다. 사랑이 깊어지게 되며 리노는 그녀의 어머니에게 자신이 한국 남자랑 사귀고 있음을 알리게 되고이에 딸의 남자친구가 어떤 사람인지 궁금해진 그녀의 어머니는 장교를 자신의 집으로 초대하게 된다. 처음 인사드리러 간 자리에서 혼자살고 있던 어머니는 젊었을적의 남편을 쏙 빼닮은 장교를 보고 크게 놀란다. 이후 장교를 볼때마다 그녀는 장교에게 점점 묘한 감정을 갖게 되고, 장교 또한 이상하게 그녀의 어머니에게 이끌리게 되는데.."
1197,다커 나이트,관람객 평점 없음,"['공포', '스릴러']",캐나다,82분,15세 관람가,https://movie-phinf.pstatic.net/20190613_213/1560414711935KzpyN_JPEG/movie_image.jpg?type=m203_290_2,베아 산토스,,,2019,07,18,슬로안 카터는 지병으로 인해 최근에 눈이 보이지 않게 되었다.그녀의 아버지는 주말 동안 집을 비우게 되어 카터와 함께 지낼 친구들을 초대한다.그녀의 가장 친한 친구들이 집으로 찾아와 그녀와 함께 하고 있다.여기 그녀 아버지의 제자들이었다며 찾아온 친구들 까지 모여 밤을 지새운다.하지만 인적이 끊겨버린 집에서 살인사건이 발생하고 정체를 숨긴 연쇄 살인범에 의해 하나씩 희생되기 시작한다.결국 카터는 자신을 지키기 위해 연쇄살인범의 정체를 밝히고 최후의 대결을 하게 된다.
1204,와인스타인,관람객 평점 없음,['다큐멘터리'],영국,99분,15세 관람가,https://movie-phinf.pstatic.net/20190909_41/1567992705513Q76DA_JPEG/movie_image.jpg?type=m203_290_2,로잔나 아퀘트, 파즈 드 라 휴에타, 하비 웨인스타인,2019,09,26,"2017년, 뉴욕 타임스의 충격적인 보도에 할리우드가 흔들리기 시작한다.', ', 전 세계적으로 유명한 할리우드의 거물 영화 제작자 ‘하비 와인스타인’,', 지난 30년 동안 자행된 그의 성범죄 피해자 수는 100여 명.', 오랜 기간 그를 둘러싼 성추문이 끊임없이 이어졌음에도', 은폐될 수밖에 없던 이유가 폭로됐다.', ', 침묵할 수밖에 없던 그들이 목소리를 내기까지,', 그리고 추악한 진실에 맞서 용기를 내기까지.', ', 미투 운동의 시작이 된 최악의 섹스 스캔들, 그 진실이 밝혀진다!"
1205,퀸 오브 아이스,관람객 평점 없음,['드라마'],노르웨이,113분,15세 관람가,https://movie-phinf.pstatic.net/20200316_172/1584344885574KCEty_JPEG/movie_image.jpg?type=m203_290_2,이네 마리 빌만, 발렌 케인, 엘다르 스카르,2020,03,26,"어린 시절부터 스케이팅에 남다른 재능을 보인 소냐 헤니.올림픽 챔피언 3연패라는 기록과 함께, 발레로 익힌 예술성을피겨에 접목한 아름다운 스케이팅으로 최초로 은반 위를 지배하는 세계적인 피겨스케이팅 스타가 된다.이후 프로로 전향해 화려한 아이스쇼를 선보이던 그녀는할리우드로 무대를 옮겨 20세기 폭스와 계약을 맺고 출연한 영화마다 대박을 터뜨리며 할리우드 명예의 전당까지 오르는무서운 성공가도를 달린다. 세계 최고의 피겨 스케이터에서 할리우드의 스타가 된 소냐는언제나 가족들과 팬 그리고 연인들에게 둘러싸여 하루하루 달콤한 쾌락에 빠져 간다.하지만 소냐의 행복은 잠시뿐,공연 기획자이자 아서 월츠가 갑자기 등을 돌리고 그녀는 내리막길을 걷게 된다.그동안 소냐에게 쏟아졌던 화려한 스포트라이트가 하나 둘 사라지고소냐는 지금까지 겪어 보지 못한 현실에 좌절하게 되는데… 시대를 앞서간 최초의 피겨 스타은반 위의 전설 소냐 헤니의 모든 것!"
1207,위 아 리틀 좀비,관람객 평점 없음,['드라마'],일본,120분,12세 관람가,https://movie-phinf.pstatic.net/20200128_51/1580192084371rrQEb_JPEG/movie_image.jpg?type=m203_290_2,니노미야 케이타, 나카지마 세나, 오쿠무라 몬도,2020,02,05,"엄마, 아빠가 죽었다.부모님이 재가 돼 버린 그 날, 화장터에서 우연히 만난 우리.슬픈 게 정상인데 눈물이 나지 않았던 우리는감정을 찾기 위해 모험을 떠났고, 밴드를 결성했다.밴드 ‘리틀 좀비’는 꿈도, 미래도, 나아갈 힘도 없는4명의 작은 좀비들이 마음을 되찾고자 떠나는 여정이다."
1218,헌팅 오브 힐하우스,관람객 평점 없음,"['드라마', '공포', '스릴러']",미국,91분,청소년 관람불가,https://movie-phinf.pstatic.net/20190816_17/15659216433589by9i_JPEG/movie_image.jpg?type=m203_290_2,힐러리 더프,,,2019,09,05,"1969년 8월 7일 목요일', 잠시 떠났던 내 집으로 다시 돌아와 새로운 시작을 해보려 하는데, 모든 게 낯설고 이상하다.', 어제는 이상한 남자가 집을 찾아왔고, 오늘 아침에는 나의 반려견 새퍼스틴이… 주검이 되어 돌아왔다… 심지어 찰리라는 사람이 두고 간 “어여쁜 소녀여”하며 반복되는 기분 나쁜 멜로디의 테이프가 저절로 재생되기까지… ', 친구들은 내가 예민해진 것뿐이라며 믿지 않는데, 너무 생생하다.', 정체불명의 사람들…살려 달라고 소리치는 나….', 3번의 악몽…그곳에서 나의 죽음을 본다…', 여기에 있다가는 정말 꿈처럼 죽을 것만 같은 느낌이 든다! 이렇게 죽어야만 하는 걸까? 가만히 있을 수만은 없다. ', 나의 선택이 죽음의 운명을 바꿀지도 모른다!"
1219,상간녀 살인사건,관람객 평점 없음,['스릴러'],스페인,83분,청소년 관람불가,https://movie-phinf.pstatic.net/20190719_32/1563516431137jh291_JPEG/movie_image.jpg?type=m203_290_2,클레어 폴라니, 제이크 아벨, 타이터스 웰리버,2019,07,23,"자신의 제자 에버렛과 사랑에 빠진 의과대 교수 할리.할리는 주말 밤을 에버렛과 보내기 위해 남편 러셀을 속이고 아스펠의 한 호텔로 간다.호텔엔 에버렛이 준비한 선물이 놓여있고, 할리는 설레이는 마음으로 침대에서 에버렛을 기다린다.하지만 할리의 이 설레임 뒤고 걷잡을 수 없는 일들이 기다리고 있는데..."
1220,데이 앤 나잇,관람객 평점 없음,"['범죄', '드라마', '스릴러']",일본,134분,15세 관람가,https://movie-phinf.pstatic.net/20210716_74/1626425623995Hdd7g_JPEG/movie_image.jpg?type=m203_290_2,아베 신노스케, 키요하라 카야, 안도 마사노부,2021,08,,아버지의 갑작스러운 죽음으로 고향에 내려오게 된 ‘코지’.대기업을 상대로 내부 고발을 했던 아버지가억울한 오명을 썼다는 사실에 분노한 ‘코지’는아버지를 죽음으로 내몬 사람들에게 복수를 꿈꾼다.그러다 아버지와 함께 일을 했다는 ‘켄이치’를 만난 그는아버지가 생전에 ‘켄이치’의 보육원 일을 도운 것처럼자신도 그 일을 도와주기로 하지만그가 데려간 곳은 어두운 폐차장인데…아버지의 갑작스러운 죽음과 숨겨진 진실!소중한 사람을 잃었다면 당신은 어떻게 하시겠습니까?
